City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Ust-Karsk,RU,52.7011,118.8077,40.8,64,0,5.84,clear sky
310,Port Moresby,PG,-9.4431,147.1797,80.02,83,20,17.27,haze
311,Yushan,CN,31.3776,120.9543,82.94,83,3,6.71,light rain
312,Deputatskiy,RU,69.3,139.9,21.09,85,99,6.15,overcast clouds
313,Cuamba,MZ,-14.8031,36.5372,89.87,24,95,2.75,overcast clouds
314,Alta Floresta,BR,-9.8756,-56.0861,78.19,76,78,2.73,broken clouds
315,Chumikan,RU,54.7183,135.315,48.06,85,100,15.61,light rain
316,Bedele,ET,8.456,36.353,70.11,61,45,3.65,scattered clouds
317,Sitka,US,57.0531,-135.33,49.89,81,90,0.0,light rain
318,Huanren,CN,41.2647,125.3667,60.87,97,99,0.87,overcast clouds
319,Booue,GA,-0.0921,11.9385,84.33,66,81,3.27,light rain
320,Limbang,MY,4.75,115.0,84.31,95,100,2.3,light rain
321,Vilhena,BR,-12.7406,-60.1458,86.16,46,18,4.41,few clouds
322,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,8.05,mist
323,Margate,GB,51.3813,1.3862,65.17,58,21,5.99,few clouds
324,Marsh Harbour,BS,26.5412,-77.0636,80.37,63,0,11.97,clear sky
325,Buzmeyin,TM,38.0507,58.2056,73.13,46,40,13.8,scattered clouds
326,Novopavlovka,RU,51.2172,109.2091,35.56,73,98,2.77,overcast clouds
327,Bhopal,IN,23.2667,77.4,86.23,66,40,4.61,scattered clouds
328,Salinas,US,36.6777,-121.6555,59.7,84,90,0.0,overcast clouds
329,Batagay-Alyta,RU,67.8006,130.4114,30.36,88,100,1.07,overcast clouds
330,Santa Rosa,PH,14.3122,121.1114,84.18,77,37,2.77,scattered clouds
331,Neuquen,AR,-38.9516,-68.0591,48.09,49,0,4.61,clear sky
332,Nago,JP,26.5881,127.9761,82.56,78,2,13.33,clear sky
333,Santa Cruz,BO,-17.8,-63.1667,78.85,73,0,9.22,smoke
334,Dukat,RU,62.55,155.55,28.72,80,100,2.8,overcast clouds
335,Touros,BR,-5.1989,-35.4608,77.9,66,74,20.04,broken clouds
336,Halifax,CA,44.6453,-63.5724,60.8,81,1,1.01,clear sky
337,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,87,90,14.25,overcast clouds
338,Acapulco,MX,16.8634,-99.8901,78.62,78,20,3.44,few clouds
339,Ketchikan,US,55.3422,-131.6461,53.58,95,100,3.96,light rain
340,Biak,ID,-0.9131,122.8766,76.96,83,100,5.48,overcast clouds
341,Honningsvag,NO,70.9821,25.9704,56.73,71,75,11.5,broken clouds
342,Acuautla,MX,20.4903,-98.0336,67.73,85,8,4.56,clear sky
343,Olinda,BR,-8.0089,-34.8553,80.33,69,40,19.57,scattered clouds
344,Coahuayana,MX,18.7333,-103.6833,78.28,93,100,3.62,overcast clouds
345,Ville-Marie,CA,47.3335,-79.433,46.4,85,9,6.31,clear sky
346,Sofiyivka,UA,48.0493,33.8746,59.23,41,19,11.59,few clouds
347,Hithadhoo,MV,-0.6,73.0833,82.85,74,100,17.56,overcast clouds
348,Tsumeb,NA,-19.2333,17.7167,92.23,7,0,5.59,clear sky
